r,param,value
GW_01,p,-100
GW_02,p,-300
GW_03,p,-100
GW_04,p,-300
GW_05,p,-100
GW_06,p,-300
GW_07,p,-100
GW_08,p,-300
GW_09,p,-100
GW_10,p,-300
GW_11,p,-100
GW_12,p,-300
GW_13,p,-100
GW_14,p,-300
GW_15,p,-100
GW_16,p,-300
GW_17,p,-100
GW_18,p,-300
GW_19,p,-100
GW_20,p,-300
GW_21,p,-100
GW_AV,p,-300
GW_CH,p,-100
GW_EW,p,-300
GW_IM,p,-100
GW_MJ,p,-300
GW_MWD,p,-100
GW_OW,p,-300
GW_SBV,p,-100
GW_SC,p,-300
GW_SD,p,-100
GW_VC,p,-300
SR_BER,pmin,-100
SR_BER,pmax,-300
SR_BUC,pmin,-100
SR_BUC,pmax,-300
SR_BUL,pmin,-100
SR_BUL,pmax,-300
SR_CLE,pmin,-100
SR_CLE,pmax,-300
SR_CLK_INV,pmin,-100
SR_CLK_INV,pmax,-300
SR_CMN,pmin,-100
SR_CMN,pmax,-300
SR_DNP,pmin,-100
SR_DNP,pmax,-300
SR_EBMUD,pmin,-100
SR_EBMUD,pmax,-300
SR_FOL,pmin,-100
SR_FOL,pmax,-300
SR_GNT,pmin,-100
SR_GNT,pmax,-300
SR_HTH,pmin,-100
SR_HTH,pmax,-300
SR_ISB,pmin,-100
SR_ISB,pmax,-300
SR_LL_ENR,pmin,-100
SR_LL_ENR,pmax,-300
SR_LVQ,pmin,-100
SR_LVQ,pmax,-300
SR_MCR,pmin,-100
SR_MCR,pmax,-300
SR_MIL,pmin,-100
SR_MIL,pmax,-300
SR_NHG,pmin,-100
SR_NHG,pmax,-300
SR_NML,pmin,-100
SR_NML,pmax,-300
SR_ORO,pmin,-100
SR_ORO,pmax,-300
SR_PAR,pmin,-100
SR_PAR,pmax,-300
SR_PNF,pmin,-100
SR_PNF,pmax,-300
SR_RLL_CMB,pmin,-100
SR_RLL_CMB,pmax,-300
SR_SFAGG,pmin,-100
SR_SFAGG,pmax,-300
SR_SHA,pmin,-100
SR_SHA,pmax,-300
SR_SNL,pmin,-100
SR_SNL,pmax,-300
SR_WHI,pmin,-100
SR_WHI,pmax,-300
