r,param,od,nogwod
GW_01,p,0.0,-45.700146558198355
GW_02,p,0.0,-86.18486731236507
GW_03,p,0.0,-76.11300247769263
GW_04,p,0.0,-67.97007750857348
GW_05,p,0.0,-93.01168946943994
GW_06,p,0.0,-106.7953133343268
GW_07,p,0.0,-85.0228659566619
GW_08,p,0.0,-119.60662024543203
GW_09,p,0.0,-97.86178385398414
GW_10,p,0.0,-40.473820334417454
GW_11,p,0.0,-140.0653849587251
GW_12,p,0.0,-79.74420173015928
GW_13,p,0.0,-46.835044383709054
GW_14,p,0.0,-76.10989870191972
GW_15,p,0.0,-113.6907539100191
GW_16,p,0.0,-104.44321787489017
GW_17,p,0.0,-132.47427289838274
GW_18,p,0.0,-61.89715415981106
GW_19,p,0.0,-65.15050297633053
GW_20,p,0.0,-47.89782966724403
GW_21,p,0.0,-89.62170205242298
GW_AV,p,0.0,-100.36150560448222
GW_CH,p,0.0,-79.06262516076144
GW_EW,p,0.0,-73.6330878488933
GW_IM,p,0.0,-47.13901598844458
GW_MJ,p,0.0,-131.49830524436467
GW_MWD,p,0.0,-81.78012994984418
GW_OW,p,0.0,-108.69997039152746
GW_SBV,p,0.0,-88.12941885298689
GW_SC,p,0.0,-79.56573293066775
GW_SD,p,0.0,-95.2091731281424
GW_VC,p,0.0,-118.63770301033743
SR_BER,pmin,-1.5952453652479777,-1.5952453652479777
SR_BER,pmax,-504.5834944047095,-504.5834944047095
SR_BUC,pmin,-183.26288257371803,-183.26288257371803
SR_BUC,pmax,-543.6819748762614,-543.6819748762614
SR_BUL,pmin,-79.68608236252848,-79.68608236252848
SR_BUL,pmax,-654.5408355254691,-654.5408355254691
SR_CLE,pmin,-179.12058370801833,-179.12058370801833
SR_CLE,pmax,-502.7748772475718,-502.7748772475718
SR_CLK_INV,pmin,-131.9944458060166,-131.9944458060166
SR_CLK_INV,pmax,-1044.4969171761918,-1044.4969171761918
SR_CMN,pmin,-155.21081937008964,-155.21081937008964
SR_CMN,pmax,-721.9423287469605,-721.9423287469605
SR_DNP,pmin,-22.61475644542285,-22.61475644542285
SR_DNP,pmax,-813.2232253961538,-813.2232253961538
SR_EBMUD,pmin,-379.34726638653945,-379.34726638653945
SR_EBMUD,pmax,-846.2163056471948,-846.2163056471948
SR_FOL,pmin,-50.381711673793546,-50.381711673793546
SR_FOL,pmax,-693.4265512961612,-693.4265512961612
SR_GNT,pmin,-98.9009528180506,-98.9009528180506
SR_GNT,pmax,-905.8905918267653,-905.8905918267653
SR_HTH,pmin,-261.1506248730095,-261.1506248730095
SR_HTH,pmax,-844.7997858736062,-844.7997858736062
SR_ISB,pmin,-13.689360787666931,-13.689360787666931
SR_ISB,pmax,-1008.2064314179601,-1008.2064314179601
SR_LL_ENR,pmin,-184.94112426384044,-184.94112426384044
SR_LL_ENR,pmax,-885.0732896950663,-885.0732896950663
SR_LVQ,pmin,-273.7756971348871,-273.7756971348871
SR_LVQ,pmax,-1096.0569411613594,-1096.0569411613594
SR_MCR,pmin,-25.99396556460121,-25.99396556460121
SR_MCR,pmax,-1030.3955389158743,-1030.3955389158743
SR_MIL,pmin,-127.14285155541249,-127.14285155541249
SR_MIL,pmax,-596.2215794698367,-596.2215794698367
SR_NHG,pmin,-55.218520438256704,-55.218520438256704
SR_NHG,pmax,-580.7218125358819,-580.7218125358819
SR_NML,pmin,-25.850097706795946,-25.850097706795946
SR_NML,pmax,-564.7120679030894,-564.7120679030894
SR_ORO,pmin,-25.773869919183827,-25.773869919183827
SR_ORO,pmax,-680.2667937804353,-680.2667937804353
SR_PAR,pmin,-46.04612032961977,-46.04612032961977
SR_PAR,pmax,-625.2095785584067,-625.2095785584067
SR_PNF,pmin,-77.7666095240207,-77.7666095240207
SR_PNF,pmax,-578.2288808692044,-578.2288808692044
SR_RLL_CMB,pmin,-117.6841273224365,-117.6841273224365
SR_RLL_CMB,pmax,-726.6328899752035,-726.6328899752035
SR_SFAGG,pmin,-241.52177000189607,-241.52177000189607
SR_SFAGG,pmax,-562.7625203905986,-562.7625203905986
SR_SHA,pmin,-336.2657359774826,-336.2657359774826
SR_SHA,pmax,-779.537120463878,-779.537120463878
SR_SNL,pmin,-9.796396682580596,-9.796396682580596
SR_SNL,pmax,-80.57581998948726,-80.57581998948726
SR_WHI,pmin,-240.75842201777706,-240.75842201777706
SR_WHI,pmax,-797.4531688322041,-797.4531688322041
